category_code,status,founded_at,first_investment_at,last_investment_at,investment_rounds,funding_rounds,funding_total_usd,milestones,relationships,top_3_cities,usa_non_usa,ca_non_ca,first_funding_at_year,last_funding_at_year,first_milestone_at_year,last_milestone_at_year,closed_at_year,isClosed,duration_days,log_funding_total_usd
1,2,2007,0,0,1.0,1.0,5000000.0,3.0,14.0,0,1,1,2008,2008,2008,2012,0,1,0,15.424948470398375
0,4,2003,0,0,1.0,3.0,10125293.0,1.0,6.0,0,1,0,2011,2012,2010,2010,0,0,0,16.13054710880978
0,4,2003,0,0,1.0,1.0,250000.0,1.0,2.0,0,0,0,2003,2003,2007,2007,0,0,0,12.429216196844383
0,4,2010,0,0,1.0,1.0,100000.0,1.0,3.0,0,1,0,2011,2011,2010,2010,0,0,0,11.512925464970229
0,4,2006,0,0,1.0,2.0,11300000.0,1.0,2.0,0,1,0,2011,2012,0,0,0,0,0,16.240313283682568
0,4,2006,0,0,1.0,2.0,414840.0,1.0,2.0,0,0,0,2007,2007,0,0,0,0,0,12.935648182703671
0,4,2004,0,0,1.0,1.0,1500000.0,1.0,8.0,0,1,0,2011,2011,2010,2010,0,0,0,14.22097566607244
1,4,2006,0,0,1.0,1.0,2500000.0,2.0,7.0,1,1,1,2007,2007,2010,2012,0,0,0,14.73180128983843
0,4,2011,0,0,1.0,1.0,40000.0,1.0,5.0,1,1,1,2011,2011,2012,2012,0,0,0,10.596634733096073
1,4,1996,0,0,1.0,2.0,840000.0,1.0,19.0,0,1,0,2011,2012,0,0,0,0,0,13.641157170819497
1,4,2007,0,0,1.0,1.0,350000.0,1.0,2.0,0,1,1,2007,2007,2008,2008,0,0,0,12.765688433465597
0,4,2009,0,0,1.0,1.0,559522.0,1.0,3.0,0,0,0,2011,2011,0,0,0,0,0,13.234838126783236
0,4,2008,0,0,1.0,1.0,3100000.0,3.0,5.0,0,1,1,2012,2012,2009,2012,0,0,0,14.946912669455374
1,3,2007,0,0,1.0,1.0,100000.0,1.0,1.0,0,1,1,2007,2007,2009,2009,2012,1,2031,11.512925464970229
1,4,2000,0,0,1.0,1.0,45000.0,1.0,3.0,0,1,1,2012,2012,0,0,0,0,0,10.714417768752456
0,4,2004,0,0,1.0,3.0,3933515.0,1.0,2.0,0,0,0,2007,2011,2004,2004,0,0,0,15.1850439861419
1,4,2007,0,0,1.0,1.0,280000.0,2.0,2.0,0,1,0,2008,2008,2008,2009,0,0,0,12.542544882151386
0,3,2006,0,0,1.0,1.0,5000000.0,5.0,3.0,0,0,0,2008,2008,2008,2012,2010,1,1302,15.424948470398375
0,4,2010,0,0,1.0,2.0,182500.0,1.0,3.0,0,1,0,2010,2011,0,0,0,0,0,12.114505452004684
0,4,2008,0,0,1.0,2.0,4815940.0,1.0,4.0,0,1,0,2013,2013,0,0,0,0,0,15.387441807421427
0,4,2008,0,0,1.0,2.0,16000000.0,3.0,8.0,0,0,0,2009,2010,2009,2012,0,0,0,16.588099280204055
1,3,2006,0,0,1.0,1.0,1613875.0,1.0,3.0,0,0,0,2012,2012,0,0,2013,1,2467,14.29414867747702
0,4,2009,0,0,1.0,1.0,720000.0,1.0,3.0,0,0,0,2011,2011,2010,2010,0,0,0,13.487006490992238
1,4,2007,0,0,1.0,2.0,4350000.0,1.0,2.0,1,1,0,2011,2013,0,0,0,0,0,15.285686403064867
1,2,2011,0,0,1.0,3.0,4000000.0,2.0,7.0,1,1,0,2011,2013,2012,2013,0,1,0,15.201804919084164
0,4,2011,0,0,1.0,3.0,3268000.0,1.0,9.0,1,1,0,2011,2013,2013,2013,0,0,0,14.99968873496203
0,4,1997,0,0,1.0,1.0,8500000.0,1.0,2.0,0,1,0,2007,2007,2009,2009,0,0,0,15.955576721460545
0,2,2011,0,0,1.0,1.0,250000.0,1.0,2.0,1,1,1,2011,2011,2011,2011,0,1,0,12.429216196844383
1,2,2008,0,0,1.0,3.0,1310000.0,2.0,12.0,1,1,0,2008,2010,2011,2013,0,1,0,14.085537695177335
1,4,2008,0,0,1.0,1.0,800000.0,1.0,5.0,1,1,1,2008,2008,0,0,0,0,0,13.592367006650065
1,4,2001,0,0,1.0,1.0,10200000.0,1.0,2.0,0,1,0,2012,2012,0,0,0,0,0,16.1378982782545
0,3,2006,0,0,1.0,1.0,205000.0,1.0,1.0,0,1,0,2008,2008,0,0,2010,1,1305,12.230765258120545
0,4,2008,0,0,1.0,1.0,13800000.0,1.0,3.0,0,0,0,2011,2011,0,0,0,0,0,16.440179150127435
0,4,2008,0,0,1.0,1.0,1000000.0,2.0,3.0,1,1,1,2009,2009,2008,2009,0,0,0,13.815510557964274
0,2,2007,0,0,1.0,3.0,15286415.0,1.0,2.0,0,1,0,2007,2013,2010,2010,0,1,0,16.54247508344169
0,4,2007,0,0,1.0,3.0,27000000.0,1.0,13.0,0,1,1,2007,2010,2012,2012,0,0,0,17.111347423968603
0,4,2009,0,0,1.0,2.0,3500000.0,3.0,9.0,0,0,0,2009,2011,2008,2011,0,0,0,15.068273526459642
1,4,2006,0,0,1.0,1.0,230000.0,1.0,3.0,0,1,0,2007,2007,0,0,0,0,0,12.345834587905333
1,3,2006,0,0,1.0,1.0,375000.0,1.0,3.0,0,1,1,2008,2008,0,0,2009,1,907,12.834681304952548
1,4,2009,0,0,1.0,1.0,450000.0,1.0,2.0,0,0,0,2010,2010,2009,2009,0,0,0,13.017002861746503
1,2,2007,0,0,1.0,3.0,14229998.0,3.0,14.0,1,1,1,2009,2011,2010,2011,0,1,0,16.470862829517888
