isClosed,status,founded_at,funding_total_usd,milestones,ca_non_ca,closed_at_year,duration_days,log_funding_total_usd
1,2,2007,5000000.0,3.0,1,0,0,15.424948470398377
0,4,2003,10125293.0,1.0,0,0,0,16.13054710880978
0,4,2003,250000.0,1.0,0,0,0,12.429216196844385
0,4,2010,100000.0,1.0,0,0,0,11.512925464970229
0,4,2006,11300000.0,1.0,0,0,0,16.240313283682568
0,4,2006,414840.0,1.0,0,0,0,12.935648182703671
0,4,2004,1500000.0,1.0,0,0,0,14.22097566607244
0,4,2006,2500000.0,2.0,1,0,0,14.73180128983843
0,4,2011,40000.0,1.0,1,0,0,10.596634733096073
0,4,1996,840000.0,1.0,0,0,0,13.641157170819495
0,4,2007,350000.0,1.0,1,0,0,12.765688433465597
0,4,2009,559522.0,1.0,0,0,0,13.234838126783236
0,4,2008,3100000.0,3.0,1,0,0,14.946912669455374
1,3,2007,100000.0,1.0,1,2012,2031,11.512925464970229
0,4,2000,45000.0,1.0,1,0,0,10.714417768752456
0,4,2004,3933515.0,1.0,0,0,0,15.1850439861419
0,4,2007,280000.0,2.0,0,0,0,12.542544882151386
1,3,2006,5000000.0,5.0,0,2010,1302,15.424948470398377
0,4,2010,182500.0,1.0,0,0,0,12.114505452004684
0,4,2008,4815940.0,1.0,0,0,0,15.387441807421428
0,4,2008,16000000.0,3.0,0,0,0,16.588099280204055
1,3,2006,1613875.0,1.0,0,2013,2467,14.29414867747702
0,4,2009,720000.0,1.0,0,0,0,13.487006490992238
0,4,2007,4350000.0,1.0,0,0,0,15.285686403064869
1,2,2011,4000000.0,2.0,0,0,0,15.201804919084164
0,4,2011,3268000.0,1.0,0,0,0,14.99968873496203
0,4,1997,8500000.0,1.0,0,0,0,15.955576721460544
1,2,2011,250000.0,1.0,1,0,0,12.429216196844385
1,2,2008,1310000.0,2.0,0,0,0,14.085537695177337
0,4,2008,800000.0,1.0,1,0,0,13.592367006650065
0,4,2001,10200000.0,1.0,0,0,0,16.1378982782545
1,3,2006,205000.0,1.0,0,2010,1305,12.230765258120543
0,4,2008,13800000.0,1.0,0,0,0,16.440179150127435
0,4,2008,1000000.0,2.0,1,0,0,13.815510557964274
1,2,2007,15286415.0,1.0,0,0,0,16.54247508344169
0,4,2007,27000000.0,1.0,1,0,0,17.111347423968603
0,4,2009,3500000.0,3.0,0,0,0,15.068273526459642
0,4,2006,230000.0,1.0,0,0,0,12.345834587905332
1,3,2006,375000.0,1.0,1,2009,907,12.834681304952548
0,4,2009,450000.0,1.0,0,0,0,13.017002861746503
1,2,2007,14229998.0,3.0,1,0,0,16.470862829517888
0,4,2007,500000.0,2.0,1,0,0,13.122363377404328
0,4,2011,100000.0,2.0,0,0,0,11.512925464970229
0,4,2008,27100000.0,1.0,0,0,0,17.11504428584993
1,2,2003,24300000.0,3.0,1,0,0,17.005986908310778
1,2,2007,1750000.0,2.0,0,0,0,14.375126345899696
0,4,1999,17900000.0,4.0,1,0,0,16.70031127081098
0,4,2007,150000.0,1.0,1,0,0,11.918390573078392
0,4,2011,75000.0,1.0,0,0,0,11.225243392518449
1,3,2009,3000000.0,1.0,0,2012,775,14.914122846632385
0,4,2007,8829914.0,1.0,0,0,0,15.993655833008363
0,4,2011,27200000.0,1.0,1,0,0,17.118727531266227
0,4,2000,16000000.0,1.0,1,0,0,16.588099280204055
1,2,2007,1100000.0,2.0,1,0,0,13.9108207377686
0,4,2000,12322500.0,3.0,0,0,0,16.32693741756167
1,2,2007,225000.0,1.0,1,0,0,12.323855681186558
0,4,2011,26752221.0,1.0,0,0,0,17.102128055897037
